NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.0621515292023538,0.22581949921390498
2,I(OTH_EMP + OFF_EMP),0,0.7492167210308359,0.5368343899903814
3,OFF_EMP,0.4282162540802001,0.471109541332304,0.2733237162737539
4,OTH_EMP,1.3709153956238007,0.4552581154391852,0.2647422201261732
5,RET_EMP,0.6439880003879632,3.9050731635796314,4.205779520008012
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
